Month,Food,Responsibility,Water,Transport,Recharge,Alms,Miscellaneous,Investments,Total-Expenses,Total-income,Year
February,4500,0,300,550,4000,500,12850,0,22700,35400,2021
May,5430,2000,600,1750,8400,2900,15620,4000,34300,40700,2021
June,7150,5210,600,3280,4020,1600,50481.50,23426,95767.50,93250,2021
July,8740,20200,900,2790,5967,2200,17286.49,0,58083.49,64800,2021 
August,10240,7021.50,940,920,4650,700,32763.14,0,57234.64,73350,2021  
September, 8740,0,800,1850,4500,550,10640.75,0,27080.75,77300,2021
October,8260,0,1120,2470,4850,2290,8396.40,41321.11,68707.51,61820,2021
November,11200,0,1080,1970,4140,1930,12974.51,20712.46,54006.97,65560,2021
December,12170,10300,1360,2250,4100,9835.75,11147.43,9670.73,60833.91,95400,2021

